system,seed,family,config,force_rmse_rel,potential_error_rel,virial_error_rel,pressure_error_rel,batch_size,sog_terms
N160,42.0,pppm,grid=16^3,2.263175616161396,2.269050500208036,6.803019648242829,0.38076656188752483,nan,nan
N160,42.0,rbsog_batch,"P=25,M=12",1.3500570163727397,0.24415554654287544,0.4806930269941578,0.02690449839567183,25.0,12.0
N160,42.0,rbsog_batch,"P=50,M=12",1.1748414207212743,0.05982662897611933,0.7418267204311082,0.04152021079754016,50.0,12.0
N160,42.0,rbsog_batch,"P=100,M=12",1.1235305194979541,0.6219251739819747,0.040518176195427795,0.0022678115662755505,100.0,12.0
N160,42.0,rbsog_batch,"P=200,M=12",1.1429742059177874,0.29431602664858264,0.4117262493162555,0.023044412113595692,200.0,12.0
N160,42.0,rbsog_batch,"P=400,M=12",1.1016947305159872,0.3389376728752284,0.3297171558639639,0.01845434444189522,400.0,12.0
N160,42.0,rbsog_terms,"P=100,M=6",0.8976038192003909,0.12901673608306152,0.24675311809216754,0.013810828318752303,100.0,6.0
N160,42.0,rbsog_terms,"P=100,M=12",1.2072662292311616,0.3117155526517078,0.3137007560099288,0.017557902887766933,100.0,12.0
N160,42.0,rbsog_terms,"P=100,M=18",3.114582173382933,1.4294488174750368,1.3489008920276915,0.07549829069170225,100.0,18.0
N160,42.0,rbsog_terms,"P=100,M=24",10.052106334013912,5.62125967337688,5.168667369608692,0.28929149195893794,100.0,24.0
N160,43.0,pppm,grid=16^3,1.6766579123689433,2.2318486058867166,3.643226338197272,0.21664704597554701,nan,nan
N160,43.0,rbsog_batch,"P=25,M=12",1.150937359747238,0.4641165078939391,0.22776099901005065,0.013543969834271462,25.0,12.0
N160,43.0,rbsog_batch,"P=50,M=12",0.9886330647241228,0.4001073344490371,0.23256699904521802,0.013829762045329066,50.0,12.0
N160,43.0,rbsog_batch,"P=100,M=12",0.8785070751697851,0.43879781981907406,0.24411839016430742,0.014516673735832956,100.0,12.0
N160,43.0,rbsog_batch,"P=200,M=12",0.8595048363875789,0.5341476377643541,0.13749053409112894,0.008175972419869702,200.0,12.0
N160,43.0,rbsog_batch,"P=400,M=12",0.8409387267344495,0.35694493491146123,0.33751557816307626,0.02007060396251445,400.0,12.0
N160,43.0,rbsog_terms,"P=100,M=6",0.6775572050739332,0.26239946051991664,0.10325985166672966,0.006140420537951018,100.0,6.0
N160,43.0,rbsog_terms,"P=100,M=12",0.9169251700273773,0.3274342773093973,0.36855455098911954,0.021916358562599145,100.0,12.0
N160,43.0,rbsog_terms,"P=100,M=18",2.4565199119374768,1.4776035396492921,1.0687928919896499,0.06355652965656662,100.0,18.0
N160,43.0,rbsog_terms,"P=100,M=24",7.583611018346627,6.627779392694637,1.4650477417407777,0.08712010619091527,100.0,24.0
N160,44.0,pppm,grid=16^3,2.2695949773918715,2.965207426538706,5.96293329086358,0.2593616570480066,nan,nan
N160,44.0,rbsog_batch,"P=25,M=12",1.8094626113910837,0.45252447069750285,0.19336887810019446,0.008410704966702346,25.0,12.0
N160,44.0,rbsog_batch,"P=50,M=12",1.6192226218868033,0.315560544309562,0.5570973463311182,0.024231310972885355,50.0,12.0
N160,44.0,rbsog_batch,"P=100,M=12",1.4579642101303603,0.36089014981122153,0.3826472349294381,0.01664349005349421,100.0,12.0
N160,44.0,rbsog_batch,"P=200,M=12",1.3358938194957053,0.4035265054188154,0.2856847569326345,0.012426044085540017,200.0,12.0
N160,44.0,rbsog_batch,"P=400,M=12",1.3324330278547067,0.36141113546612064,0.4127669768232088,0.017953567793152252,400.0,12.0
N160,44.0,rbsog_terms,"P=100,M=6",1.1240151164595815,0.18408550217065733,0.2429891967533785,0.010568972960218102,100.0,6.0
N160,44.0,rbsog_terms,"P=100,M=12",1.3818769889644287,0.20734321710007217,0.5883335915248441,0.025589951748863325,100.0,12.0
N160,44.0,rbsog_terms,"P=100,M=18",3.8361914484709536,1.776624241579832,1.5666407056482552,0.06814205519259528,100.0,18.0
N160,44.0,rbsog_terms,"P=100,M=24",11.867135202843727,5.776464371350706,4.379237148540227,0.1904777645579007,100.0,24.0
N320,42.0,pppm,grid=16^3,1.4690218027063109,1.3854061629516694,4.246906902191877,0.3069649046791922,nan,nan
N320,42.0,rbsog_batch,"P=25,M=12",1.0173883530392482,0.3717143629056332,0.04175323945630581,0.0030179091430369816,25.0,12.0
N320,42.0,rbsog_batch,"P=50,M=12",0.8542605650449024,0.07857431442032983,0.36942212554064213,0.026701698474822223,50.0,12.0
N320,42.0,rbsog_batch,"P=100,M=12",0.7128504637758237,0.20085487907180255,0.28555711886605334,0.020639965930956156,100.0,12.0
N320,42.0,rbsog_batch,"P=200,M=12",0.7124942504947976,0.3027069344631365,0.17163505579571361,0.012405720152412144,200.0,12.0
N320,42.0,rbsog_batch,"P=400,M=12",0.6515090736858414,0.2586410972380119,0.2551099147452407,0.018439252958917934,400.0,12.0
N320,42.0,rbsog_terms,"P=100,M=6",0.583791343234756,0.11498018130900874,0.1509823055956593,0.010912946789932428,100.0,6.0
N320,42.0,rbsog_terms,"P=100,M=12",0.7485877803677246,0.30383063809422556,0.259744556706206,0.018774243214304938,100.0,12.0
N320,42.0,rbsog_terms,"P=100,M=18",1.831986012081909,1.0181384833265863,1.2336599878194583,0.08916850057911252,100.0,18.0
N320,42.0,rbsog_terms,"P=100,M=24",5.8860421647233645,4.236448536300612,4.334335923706051,0.31328424293486296,100.0,24.0
N320,43.0,pppm,grid=16^3,1.8461809355516479,1.2335491710160662,3.1471749219522045,0.26066228277417036,nan,nan
N320,43.0,rbsog_batch,"P=25,M=12",2.002163225328515,0.34555932253517074,0.2593891400682997,0.02148370111410634,25.0,12.0
N320,43.0,rbsog_batch,"P=50,M=12",1.560501276830933,0.38746127671993075,0.16478591912440507,0.013648263891656463,50.0,12.0
N320,43.0,rbsog_batch,"P=100,M=12",1.3528071037683904,0.27668901702523124,0.26166961244954334,0.021672579441952694,100.0,12.0
N320,43.0,rbsog_batch,"P=200,M=12",1.2629271305145622,0.29448231182878454,0.2507637481534157,0.020769309826010777,200.0,12.0
N320,43.0,rbsog_batch,"P=400,M=12",1.2114481426862675,0.25926202626039335,0.28646911237261613,0.023726578479793276,400.0,12.0
N320,43.0,rbsog_terms,"P=100,M=6",1.173958338459571,0.13264476126235783,0.1829846728077816,0.015155561323923606,100.0,6.0
N320,43.0,rbsog_terms,"P=100,M=12",1.442395923729896,0.21727408833417156,0.36436608685833055,0.030178334004730252,100.0,12.0
N320,43.0,rbsog_terms,"P=100,M=18",3.5328614252738695,1.6506288619726002,0.856936514801694,0.07097509152818014,100.0,18.0
N320,43.0,rbsog_terms,"P=100,M=24",11.043167339418762,5.884734156332898,1.9769424550042514,0.16373870090288123,100.0,24.0
N320,44.0,pppm,grid=16^3,1.168971788311463,1.141098903177937,4.500202303818596,0.403457463092335,nan,nan
N320,44.0,rbsog_batch,"P=25,M=12",0.5928650412224531,0.1813267777503483,0.7903068247208527,0.07085352280626865,25.0,12.0
N320,44.0,rbsog_batch,"P=50,M=12",0.5190904697031108,0.2919704610297004,0.28860225160069053,0.025874110631592537,50.0,12.0
N320,44.0,rbsog_batch,"P=100,M=12",0.43045991589239374,0.3747320313529256,0.19610317765921256,0.0175812741786286,100.0,12.0
N320,44.0,rbsog_batch,"P=200,M=12",0.41681430911594014,0.36145572791924435,0.2410399818960371,0.02161000173638366,200.0,12.0
N320,44.0,rbsog_batch,"P=400,M=12",0.38622506295874787,0.2717638407795258,0.31537096367241974,0.028274010887975525,400.0,12.0
N320,44.0,rbsog_terms,"P=100,M=6",0.3830939693362761,0.231627915470753,0.06855251253755858,0.006145950988367779,100.0,6.0
N320,44.0,rbsog_terms,"P=100,M=12",0.4499256941728402,0.2053143403616715,0.38586832347120525,0.03459432362480305,100.0,12.0
N320,44.0,rbsog_terms,"P=100,M=18",1.124793715181663,1.6330449613898879,0.9086105725835953,0.08145983042637629,100.0,18.0
N320,44.0,rbsog_terms,"P=100,M=24",3.4761390715975424,6.224047924148971,1.8910877115480338,0.1695420336856514,100.0,24.0
N640,42.0,pppm,grid=16^3,1.6805759793877653,0.5461749037812268,3.9168988077999725,0.5602025584215807,nan,nan
N640,42.0,rbsog_batch,"P=25,M=12",1.8065659799916522,0.0485246219082983,0.3472894988026091,0.0496700260304772,25.0,12.0
N640,42.0,rbsog_batch,"P=50,M=12",1.4823318205264184,0.21160518483104107,0.20962558193808586,0.029981062333925154,50.0,12.0
N640,42.0,rbsog_batch,"P=100,M=12",1.1892834197312456,0.2866287495787235,0.16575947470297203,0.02370724554494634,100.0,12.0
N640,42.0,rbsog_batch,"P=200,M=12",1.0595377295690744,0.2057016094957633,0.25116501610023106,0.03592211377152633,200.0,12.0
N640,42.0,rbsog_batch,"P=400,M=12",0.9668190662733432,0.1752793390563639,0.26861913119255815,0.038418435583628,400.0,12.0
N640,42.0,rbsog_terms,"P=100,M=6",1.0739720064831617,0.11396518736112178,0.0798496373885524,0.011420251926096208,100.0,6.0
N640,42.0,rbsog_terms,"P=100,M=12",1.1724751610395705,0.20865551447856687,0.21719582579935473,0.031063773475329317,100.0,12.0
N640,42.0,rbsog_terms,"P=100,M=18",2.742791810579825,0.9374716642751154,0.8885454390084094,0.12708151336846002,100.0,18.0
N640,42.0,rbsog_terms,"P=100,M=24",8.135130271060598,3.517804472379824,2.8050404265264057,0.40118238956973884,100.0,24.0
N640,43.0,pppm,grid=16^3,1.6304406905347062,0.5343913518508369,4.210818853653843,0.6020221096125862,nan,nan
N640,43.0,rbsog_batch,"P=25,M=12",1.5719704682627353,0.29339849166740856,0.20483622344996205,0.029285499959091542,25.0,12.0
N640,43.0,rbsog_batch,"P=50,M=12",1.324700821258581,0.14869311455968406,0.29752249236419176,0.04253688527941845,50.0,12.0
N640,43.0,rbsog_batch,"P=100,M=12",1.0925894142136057,0.23452106267571138,0.21795747453642983,0.031161449396568994,100.0,12.0
N640,43.0,rbsog_batch,"P=200,M=12",0.941735220425798,0.16124608301546495,0.29610920870776136,0.04233482766594806,200.0,12.0
N640,43.0,rbsog_batch,"P=400,M=12",0.8753131575172755,0.19110889233669603,0.28495946282895196,0.04074074495451045,400.0,12.0
N640,43.0,rbsog_terms,"P=100,M=6",0.940067956061678,0.22864295376698157,0.04889726241774537,0.00699085714634041,100.0,6.0
N640,43.0,rbsog_terms,"P=100,M=12",1.0643316511006635,0.09922600003548762,0.3715459227578306,0.053120038645816374,100.0,12.0
N640,43.0,rbsog_terms,"P=100,M=18",2.3884510222940154,1.1458381512494478,0.6776180002773058,0.09687926083175583,100.0,18.0
N640,43.0,rbsog_terms,"P=100,M=24",7.170961682576438,4.307167407783231,1.5707790817092353,0.22457478447104262,100.0,24.0
N640,44.0,pppm,grid=16^3,1.866823514009877,0.589348625705857,4.897003388539193,0.64076394116619,nan,nan
N640,44.0,rbsog_batch,"P=25,M=12",1.9084556279249463,0.18941372117712904,0.2765167203828079,0.03618170736118104,25.0,12.0
N640,44.0,rbsog_batch,"P=50,M=12",1.4834732212887916,0.3072676170102834,0.11223154601929314,0.014685292625853993,50.0,12.0
N640,44.0,rbsog_batch,"P=100,M=12",1.1898080137856877,0.17315139113242312,0.2986722969033715,0.0390807240462319,100.0,12.0
N640,44.0,rbsog_batch,"P=200,M=12",1.0600306231378296,0.1682816367618126,0.27952330153776883,0.03657511300896906,200.0,12.0
N640,44.0,rbsog_batch,"P=400,M=12",0.9839180199634373,0.18799685998233642,0.26985956123200244,0.035310630256267586,400.0,12.0
N640,44.0,rbsog_terms,"P=100,M=6",1.100353631228268,0.1870592318481687,0.005525276192914508,0.0007229722890714594,100.0,6.0
N640,44.0,rbsog_terms,"P=100,M=12",1.2171903459657771,0.21106887066666496,0.22504665840690713,0.0294469438441838,100.0,12.0
N640,44.0,rbsog_terms,"P=100,M=18",2.6207168372882936,1.1747831354148184,0.65712376927823,0.08598344392044736,100.0,18.0
N640,44.0,rbsog_terms,"P=100,M=24",7.757306665759454,4.319400108680445,1.6363839911339648,0.2141178537622053,100.0,24.0
